prime_mover,botfirty,primary_fuel_type,so2_ef,so2_flag,so2_ef_num,so2_ef_denom,unit_flag,so2_source,so2_ef_based_on,nox_ef,nox_ef_num,nox_ef_denom,nox_unit_flag,nox_source,nox_ef_based_on
ST,DRY DUCTBURNER,OG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.15282,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,BLQ,0.7,NA,lb,short tons,PhysicalUnits,NA,NA,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,LIG,30,S,lb,short tons,PhysicalUnits,AP-42,NA,3.6,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,PC,0.362,S,lb,MMBtu,HeatInput,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,SUB,35,S,lb,short tons,PhysicalUnits,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,WC,30,S,lb,short tons,PhysicalUnits,AP-42,NA,3.6,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY FLUIDIZED,WDS,0.025,NA,lb,MMBtu,HeatInput,AP-42,NA,2,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY STOKER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,11,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY STOKER,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY STOKER,WDS,0.025,NA,lb,MMBtu,HeatInput,AP-42,NA,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,10,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,BLQ,7,NA,lb,short tons,PhysicalUnits,NA,NA,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,DFO,6.3,S,lb,barrels,PhysicalUnits,AP-42,NA,1.008,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,LIG,30,S,lb,short tons,PhysicalUnits,AP-42,NA,7.1,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.17,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,OG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.15282,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,RC,38,S,lb,short tons,PhysicalUnits,AP-42,NA,10,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,RFO,6.594,S,lb,barrels,PhysicalUnits,AP-42,NA,1.344,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,SUB,35,S,lb,short tons,PhysicalUnits,AP-42,NA,7.2,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY TANGENTIAL,WDS,0.025,NA,lb,MMBtu,HeatInput,AP-42,NA,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY VERTICAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,12,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY VERTICAL,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,12,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,BLQ,7,NA,lb,short tons,PhysicalUnits,NA,NA,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,DFO,6.3,S,lb,barrels,PhysicalUnits,AP-42,NA,1.008,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,LIG,30,S,lb,short tons,PhysicalUnits,AP-42,NA,6.3,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,OG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.15282,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,PC,0.362,S,lb,MMBtu,HeatInput,AP-42,NA,21,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,PRG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NG
ST,DRY WALL,RFO,6.594,S,lb,barrels,PhysicalUnits,AP-42,NA,1.974,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,SUB,35,S,lb,short tons,PhysicalUnits,AP-42,NA,7.4,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,WDS,0.025,NA,lb,MMBtu,HeatInput,AP-42,NA,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,DRY WALL,WO,6.174,S,lb,barrels,PhysicalUnits,AP-42,NA,0.798,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,DUCTBURNER,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.17,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DUCTBURNER,OG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.15282,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,DUCTBURNER,PRG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.17,lb,mcf,PhysicalUnits,EIA Electricity Annual,NG
ST,FLUIDIZED,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,LIG,10,S,lb,short tons,PhysicalUnits,AP-42,NA,3.6,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,PC,0.362,S,lb,MMBtu,HeatInput,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,SUB,35,S,lb,short tons,PhysicalUnits,AP-42,NA,5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,WC,30,S,lb,short tons,PhysicalUnits,AP-42,NA,3.6,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,FLUIDIZED,WDS,0.025,NA,lb,MMBtu,HeatInput,AP-42,NA,2,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,N/A,DFO,5.964,S,lb,barrels,PhysicalUnits,AP-42,NA,1.008,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
ST,N/A,NG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NA,0.17,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,N/A,OG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.15282,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,N/A,PRG,6e-4,NA,lb,Mcf,PhysicalUnits,AP-42,NG,0.17,lb,mcf,PhysicalUnits,EIA Electricity Annual,NG
ST,N/A,SGC,38,S,lb,short tons,PhysicalUnits,AP-42,BIT,0.28,lb,mcf,PhysicalUnits,EIA Electricity Annual,NA
ST,OTHER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,NA,12,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,OTHER,BLQ,7,NA,lb,short tons,PhysicalUnits,NA,NA,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,NA
ST,OTHER,DFO,5.964,S,lb,barrels,PhysicalUnits,AP-42,NA,1.008,lb,barrels,PhysicalUnits,EIA Electricity Annual,NA
