prime_mover,botfirty,primary_fuel_type,so2_ef,so2_flag,so2_ef_num,so2_ef_denom,unit_flag,so2_source,so2_ef_based_on,nox_ef,nox_ef_num,nox_ef_denom,nox_unit_flag,nox_source,nox_ef_based_on
OT,null,AB,,,,,,,,1.2,lb,ton,PhysicalUnits,,WDS
ST,null,AB,,,,,,,,1.2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,STOKER,AB,,,,,,,,1.2,lb,ton,PhysicalUnits,EIA Electricity Annual,
OT,null,BFG,0.0006,,lb,Mcf,PhysicalUnits,,NG,0.0154,lb,mcf,PhysicalUnits,,NG
ST,null,BFG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,
ST,TANGENTIAL,BFG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,
ST,WALL,BFG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,
ST,CYCLONE,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,33,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY CYCLONE,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,33,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY FLUIDIZED,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY STOKER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,11,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY TANGENTIAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,10,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY VERTICAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY WALL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,FLUIDIZED,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,null,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,OTHER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,OTHER BOILER,BIT,,,,,,,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,STOKER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,11,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,TANGENTIAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,10,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WALL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,12,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET CYCLONE,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,33,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET FLUIDIZED,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET OTHER,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,31,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET TANGENTIAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,14,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET VERTICAL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,31,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET WALL,BIT,38,S,lb,short tons,PhysicalUnits,AP-42,,31,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,CYCLONE,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY FLUIDIZED,BLQ,0.7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY TANGENTIAL,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY WALL,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,FLUIDIZED,BLQ,0.7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,null,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,,
ST,OTHER,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,OTHER BOILER,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,TANGENTIAL,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WALL,BLQ,7,,lb,short tons,PhysicalUnits,,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
OT,null,COG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,BFG
ST,CYCLONE,COG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,BFG
ST,null,COG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,BFG
ST,TANGENTIAL,COG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,BFG
ST,WALL,COG,0.0006,,lb,Mcf,PhysicalUnits,AP-42,NG,0.0154,lb,mcf,PhysicalUnits,EIA Electricity Annual,BFG
CA,null,DFO,,,,,,,,5.124,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CS,null,DFO,,,,,,,,5.124,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CT,CC,DFO,,,,,,,,5.124,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CT,N/A,DFO,,,,,,,,5.124,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CT,null,DFO,,,,,,,,5.124,lb,barrels,PhysicalUnits,EIA Electricity Annual,
